name;type;description
info.establishmentKindCode;string;Код типа учреждения

info.legalPersonKindName;string;Наименование способа образования юр. Лица

info.legalPersonKindCode;string;Код способа образования юр. Лица

info.ougvName;string;Наименование признака исполнения функций ФО/ОУГВФ

info.ougvCode;string;Код признака исполнения функций ФО/ОУГВФ

info.uoName;string;Наименование УО по Сводному реестру

info.uoCode;string;Код УО по Сводному реестру

info.creatorKindName;string;Наименование вида ППО, создавшего организацию

info.creatorKindCode;string;Код вида ППО, создавшего организацию

info.creatorPlaceName;string;Наименование территории публично-правового образования по ОКТМО.

info.creatorPlaceCode;string;Код территории публично-правового образования по ОКТМО.

info.founderKindName;string;Наименование вида публично-правового образования по ОКТМО - учредителя (участника).

info.founderPlaceName;string;Наименование территории публично-правового образования по ОКТМО - учредителя (участника)Указывается полное наименование территории ППО учредителя (участника) организации.

info.founderPlaceCode;string;Код территории публично-правового образования по ОКТМО - учредителя (участника).

info.founderKindCode;string;Код вида публично-правового образования по ОКТМО - учредителя (участника).

info.budgetLvlName;string;Наименование уровня бюджета организации

info.budgetLvlCode;string;Указывается код уровня бюджета в соответствии со следующими значениями:

info.budgetName;string;Наименование уровня бюджета организации

info.budgetCode;string;Код бюджета организации

info.statusCode;string;Код статуса организации

info.statusName;string;Наименование статуса организации.

info.house;string;Дом

info.regionType;string;Тип региона

info.regionName;string;наименование региона

info.isOGV;boolean;Является органом власти

info.isUch;string;Осуществляет функции учредителя.

info.isObosob;boolean;Является обособленным подразделением

info.orgStatus;string;Наименование статуса организации.

info.recordNum;string;Уникальный номер реестровой записи

info.parentCode;string;Код вышестоящего УБП по Сводному реестру.

info.parentName;string;Наименование вышестоящего УБП по Сводному реестру

info.okatoCode;string;Код ОКАТО

info.okatoName;string;Наименование кода ОКАТО

info.guid;string;Уникальный GUID

info.status;string;Текущий статус

info.controlNum;string;Контрольное число

info.bidNum;string;bidNum

info.firstRegDate;datetime;Дата первоначальной регистрации

info.firstRegGuid;string;Уникальный GUID первоначальной регистрации

info.lastRegGuid;string;ГУИД последней заявки на изменение

info.lastRegDate;datetime;Дата заявки на включение записи

info.lastRegNum;string;Номер последней заявки на изменение

info.updateReason;string;Основание изменения записи

info.updateNum;integer;Номер изменения реестровой записи

info.inclusionDate;datetime;Дата включения

info.exclusionDate;string;Дата исключения

info.pubpCode;string;Код ПУБП

info.rubpCode;string;Код РУБП

info.nubpCode;string;Код НУБП

info.cpzCode;string;Код СПЗ

info.pgmyCode;string;Код ПГМУ

info.firmName;string;Фирменное наименование

info.kofkCode;string;Код по КОФК собственный.

info.nameDocs;string;Сокращенное наименование, непредусмотренное учредительными документами

info.accMgmt;string;Ведение бух. учета в обсоб. подразделении.

info.regionCode;string;Уникальный код региона

info.areaCode;string;Код территории

info.areaName;string;Наменование территории

info.cityCode;string;Код города

info.localCode;string;Населенный пункт

info.localName;string;Наименование населенного пункта

info.streetCode;string;Код улицы

info.building;string;Здание

info.apartment;string;Офис

info.reformationDocument;string;Наименование документа о реорган./ликвид.

info.reformationDocumentNum;string;Номер документа о реорган./ликвид.

info.reformationDocumentDate;string;Дата документа о реорган./ликвид.

info.reformationName;string;Наименование формы реорганизации.

info.reformationCode;string;Код формы реорганизации

info.reformationStartDate;string;Дата начала процесса реорганизации

info.reformationEndDate;string;Дата прекращения реорганизации юридического лица

info.dateUpdate;datetime;Дата выгрузки на ЕПБС

info.localType;string;Тип населённого пункта

info.isExcluded;boolean;Условно исключена. Признак, указывающий, находится ли организация в процессе исключения из Сводного реестра

info.isReorg;boolean;Требуется реорганизация. Признак, указывающий, требуется ли реорганизация в связи с исключением вышестоящей организации из Сводного реестра

info.startDate;datetime;Дата начала действия записи

info.endDate;string;Дата окончания действия записи

info.loadDate;datetime;Дата загрузки данных

info.areaType;string;Тип района

info.regionKladrCode;string;Регион (код по КЛАДР)

info.egrulnotincluded;string;

info.parentrecordnum;string;Сведения о присвоенном уникальном номере реестровой записи организации, в отношении которой осуществляются специальные мероприятия

info.planningstructuretype;string;Тип элемента планировочной структуры.

info.planningstructurename;string;Наименование элемента планировочной структуры.

info.reforfkCode;string;Код ОрФК обслуживания (orfkCode)

info.contourTypeCode;string;Код типа контура

info.specEventCode;string;Код наименования специального мероприятия в отношении организации

info.naibznachuch;string;

info.speceventcodedop1;string;Код наименования специального мероприятия в отношении организации

info.speceventcodedop2;string;Код наименования специального мероприятия в отношении организации

info.speceventcodedop3;string;Код наименования специального мероприятия в отношении организации

authorities;list of [array];Органы, осуществляющие функции и полномочия учредителя

activities;list of [array];Вид деятельности организации

activities.activityCode;string;Код вида деятельности

activities.activityName;string;Наименование вида деятельности

activities.activityKind;string;Код типа вида деятельности

heads;list of [array];Руководители организации

heads.fio;string;Полное ФИО руководителя

heads.post;string;Должность руководителя

heads.docName;string;Наименование документа о назначении

heads.docNum;string;Номер документа о назначении

heads.docDate;datetime;Дата документа о назначении
